AimAng1,AimAang2,Aimx,Aimy,GV.currentx1,GV.currenty1,GV.startx,GV.starty,GV.finishx,GV.finishy,dist,GV.Set_SteerAng,GV.Steerangle,GV.gogo,GV.ToEndPoint,GVQual,AveErr,ErrDeg
'-32,'2,108.58188422184581,108.77526364613956,112.2619112941883,102.98423841987474,110.0,110.0,220.0,205.0, 6.788,2,1,-34,43.1,0,0,0
'-32,'2,108.58188422184581,108.77526364613956,112.2619112941883,102.98423841987474,110.0,110.0,220.0,205.0, 6.788,2,1,-34,43.1,0,0,0
'-32,'2,108.58188422184581,108.77526364613956,112.2619112941883,102.98423841987474,110.0,110.0,220.0,205.0, 6.788,2,1,-34,43.1,0,0,0
'-32,'2,108.58188422184581,108.77526364613956,112.2619112941883,102.98423841987474,110.0,110.0,220.0,205.0, 6.788,2,1,-34,43.1,0,0,0
'-32,'2,108.58188422184581,108.77526364613956,112.2619112941883,102.98423841987474,110.0,110.0,220.0,205.0, 6.788,2,1,-34,43.1,0,0,0
'-32,'2,108.58188422184581,108.77526364613956,112.2619112941883,102.98423841987474,110.0,110.0,220.0,205.0, 6.788,2,1,-34,43.1,0,0,0
'-32,'2,108.58188422184581,108.77526364613956,112.2619112941883,102.98423841987474,110.0,110.0,220.0,205.0, 6.788,2,1,-34,43.1,0,0,0
'-32,'2,108.58188422184581,108.77526364613956,112.2619112941883,102.98423841987474,110.0,110.0,220.0,205.0, 6.788,2,1,-34,43.1,0,0,0
'-32,'2,108.58188422184581,108.77526364613956,112.2619112941883,102.98423841987474,110.0,110.0,220.0,205.0, 6.788,2,1,-34,43.1,0,0,0
'-32,'2,108.58188422184581,108.77526364613956,112.2619112941883,102.98423841987474,110.0,110.0,220.0,205.0, 6.788,2,1,-34,43.1,0,0,0
'-32,'1,108.63333925406705,108.8197020830579,111.98959177668078,103.40357370384746,110.0,110.0,220.0,205.0, 6.293,1,2,-33,42.6,0,0,0
'-32,'1,108.63333925406705,108.8197020830579,111.98959177668078,103.40357370384746,110.0,110.0,220.0,205.0, 6.293,1,2,-33,42.6,0,0,0
'-32,'1,108.63333925406705,108.8197020830579,111.98959177668078,103.40357370384746,110.0,110.0,220.0,205.0, 6.293,1,2,-33,42.6,0,0,0
'-32,'1,108.63333925406705,108.8197020830579,111.98959177668078,103.40357370384746,110.0,110.0,220.0,205.0, 6.293,1,2,-33,42.6,0,0,0
'-32,'1,108.63333925406705,108.8197020830579,111.98959177668078,103.40357370384746,110.0,110.0,220.0,205.0, 6.293,1,2,-33,42.6,0,0,0
'-32,'1,108.63333925406705,108.8197020830579,111.98959177668078,103.40357370384746,110.0,110.0,220.0,205.0, 6.293,1,2,-33,42.6,0,0,0
'-32,'1,108.63333925406705,108.8197020830579,111.98959177668078,103.40357370384746,110.0,110.0,220.0,205.0, 6.293,1,2,-33,42.6,0,0,0
'-32,'1,108.63333925406705,108.8197020830579,111.98959177668078,103.40357370384746,110.0,110.0,220.0,205.0, 6.293,1,2,-33,42.6,0,0,0
